Date,^IXIC,^GSPC
2015-01-02,4726.81005859375,2058.199951171875
2015-01-05,4652.56982421875,2020.5799560546875
2015-01-06,4592.740234375,2002.6099853515625
2015-01-07,4650.47021484375,2025.9000244140625
2015-01-08,4736.18994140625,2062.139892578125
2015-01-09,4704.06982421875,2044.81005859375
2015-01-12,4664.7099609375,2028.260009765625
2015-01-13,4661.5,2023.030029296875
2015-01-14,4639.31982421875,2011.27001953125
2015-01-15,4570.81982421875,1992.6700439453125
2015-01-16,4634.3798828125,2019.4200439453125
2015-01-20,4654.85009765625,2022.550048828125
2015-01-21,4667.419921875,2032.1199951171875
2015-01-22,4750.39990234375,2063.14990234375
2015-01-23,4757.8798828125,2051.820068359375
2015-01-26,4771.759765625,2057.090087890625
2015-01-27,4681.5,2029.550048828125
2015-01-28,4637.990234375,2002.1600341796875
2015-01-29,4683.41015625,2021.25
2015-01-30,4635.240234375,1994.989990234375
2015-02-02,4676.68994140625,2020.8499755859375
2015-02-03,4727.740234375,2050.030029296875
2015-02-04,4716.7001953125,2041.510009765625
2015-02-05,4765.10009765625,2062.52001953125
2015-02-06,4744.39990234375,2055.469970703125
2015-02-09,4726.009765625,2046.739990234375
2015-02-10,4787.64013671875,2068.590087890625
2015-02-11,4801.18017578125,2068.530029296875
2015-02-12,4857.60986328125,2088.47998046875
2015-02-13,4893.83984375,2096.989990234375
2015-02-17,4899.27001953125,2100.340087890625
2015-02-18,4906.35986328125,2099.679931640625
2015-02-19,4924.7001953125,2097.449951171875
2015-02-20,4955.97021484375,2110.300048828125
2015-02-23,4960.97021484375,2109.659912109375
2015-02-24,4968.1201171875,2115.47998046875
2015-02-25,4967.14013671875,2113.860107421875
2015-02-26,4987.89013671875,2110.739990234375
2015-02-27,4963.52978515625,2104.5
2015-03-02,5008.10009765625,2117.389892578125
2015-03-03,4979.89990234375,2107.780029296875
2015-03-04,4967.14013671875,2098.530029296875
2015-03-05,4982.81005859375,2101.0400390625
2015-03-06,4927.3701171875,2071.260009765625
2015-03-09,4942.43994140625,2079.429931640625
2015-03-10,4859.7900390625,2044.1600341796875
2015-03-11,4849.93994140625,2040.239990234375
2015-03-12,4893.2900390625,2065.949951171875
2015-03-13,4871.759765625,2053.39990234375
2015-03-16,4929.509765625,2081.18994140625
2015-03-17,4937.43017578125,2074.280029296875
2015-03-18,4982.830078125,2099.5
2015-03-19,4992.3798828125,2089.27001953125
2015-03-20,5026.419921875,2108.10009765625
2015-03-23,5010.97021484375,2104.419921875
2015-03-24,4994.72998046875,2091.5
2015-03-25,4876.52001953125,2061.050048828125
2015-03-26,4863.35986328125,2056.14990234375
2015-03-27,4891.22021484375,2061.02001953125
2015-03-30,4947.43994140625,2086.239990234375
2015-03-31,4900.8798828125,2067.889892578125
2015-04-01,4880.22998046875,2059.68994140625
2015-04-02,4886.93994140625,2066.9599609375
2015-04-06,4917.31982421875,2080.6201171875
2015-04-07,4910.22998046875,2076.330078125
2015-04-08,4950.81982421875,2081.89990234375
2015-04-09,4974.56005859375,2091.179931640625
2015-04-10,4995.97998046875,2102.06005859375
2015-04-13,4988.25,2092.429931640625
2015-04-14,4977.2900390625,2095.840087890625
2015-04-15,5011.02001953125,2106.6298828125
2015-04-16,5007.7900390625,2104.989990234375
2015-04-17,4931.81005859375,2081.179931640625
2015-04-20,4994.60009765625,2100.39990234375
2015-04-21,5014.10009765625,2097.2900390625
2015-04-22,5035.169921875,2107.9599609375
2015-04-23,5056.06005859375,2112.929931640625
2015-04-24,5092.080078125,2117.68994140625
2015-04-27,5060.25,2108.919921875
2015-04-28,5055.419921875,2114.760009765625
2015-04-29,5023.64013671875,2106.85009765625
2015-04-30,4941.419921875,2085.510009765625
2015-05-01,5005.39013671875,2108.2900390625
2015-05-04,5016.93017578125,2114.489990234375
2015-05-05,4939.330078125,2089.4599609375
2015-05-06,4919.64013671875,2080.14990234375
2015-05-07,4945.5400390625,2088.0
2015-05-08,5003.5498046875,2116.10009765625
2015-05-11,4993.56982421875,2105.330078125
2015-05-12,4976.18994140625,2099.1201171875
2015-05-13,4981.68994140625,2098.47998046875
2015-05-14,5050.7998046875,2121.10009765625
2015-05-15,5048.2900390625,2122.72998046875
2015-05-18,5078.43994140625,2129.199951171875
2015-05-19,5070.02978515625,2127.830078125
2015-05-20,5071.740234375,2125.85009765625
2015-05-21,5090.7900390625,2130.820068359375
2015-05-22,5089.35986328125,2126.06005859375
2015-05-26,5032.75,2104.199951171875
2015-05-27,5106.58984375,2123.47998046875
2015-05-28,5097.97998046875,2120.7900390625
2015-05-29,5070.02978515625,2107.389892578125
2015-06-01,5082.93017578125,2111.72998046875
2015-06-02,5076.52001953125,2109.60009765625
2015-06-03,5099.22998046875,2114.070068359375
2015-06-04,5059.1201171875,2095.840087890625
2015-06-05,5068.4599609375,2092.830078125
2015-06-08,5021.6298828125,2079.280029296875
2015-06-09,5013.8701171875,2080.14990234375
2015-06-10,5076.68994140625,2105.199951171875
2015-06-11,5082.509765625,2108.860107421875
2015-06-12,5051.10009765625,2094.110107421875
2015-06-15,5029.97021484375,2084.429931640625
2015-06-16,5055.5498046875,2096.2900390625
2015-06-17,5064.8798828125,2100.43994140625
2015-06-18,5132.9501953125,2121.239990234375
2015-06-19,5117.0,2109.989990234375
2015-06-22,5153.97021484375,2122.85009765625
2015-06-23,5160.08984375,2124.199951171875
2015-06-24,5122.41015625,2108.580078125
2015-06-25,5112.18994140625,2102.31005859375
2015-06-26,5080.509765625,2101.489990234375
2015-06-29,4958.47021484375,2057.639892578125
