Date,FinTech Index,FAANG Index,NASDAQ,S&P500
2015-01-02,1.0,1.0,1.0,1.0
2015-01-05,0.9792696999361339,0.9727014685267303,0.9842937978351753,0.9817218948548863
2015-01-06,0.9606340557283989,0.9578068543242759,0.9716362996276952,0.9729909789431967
2015-01-07,0.9674588800393403,0.963202468062444,0.9838496062241369,0.9843067109493313
2015-01-08,0.9891394701193349,0.9820368882393243,1.0019844001972211,1.001914265620309
2015-01-09,0.9812897951880769,0.9734021258891847,0.9951890949513285,0.9934943674590502
2015-01-12,0.9599473176023491,0.954799616601235,0.9868621550503501,0.9854533368396967
2015-01-13,0.9627688438613901,0.9622706353688425,0.9861830583873344,0.9829122909778638
2015-01-14,0.9560422812371195,0.9621612741087813,0.9814906388683982,0.9771985556534949
2015-01-15,0.937703506790864,0.947003183822147,0.966998835908078,0.9681615446598122
2015-01-16,0.9587806230289774,0.9610031575080142,0.9804455489779615,0.981158338282691
2015-01-20,0.967062061097166,0.9739756811282507,0.9847762105848382,0.9826790869742991
2015-01-21,0.9487690256579927,1.0207419147397503,0.9874354721297138,0.987328754895831
2015-01-22,0.9590103570483987,1.0539607964095532,1.00499064770058,1.002404990423334
2015-01-23,0.9584737111816731,1.064111424817274,1.0065731061399987,0.9969002609251509
2015-01-26,0.970652949946369,1.06512930886309,1.0095095225900874,0.9994607602237003
2015-01-27,0.9668986778757837,1.049657149305537,0.9904142417334133,0.9860801170812206
2015-01-28,0.9586512919877137,1.0502751610125505,0.9812093519481986,0.9727723650171695
2015-01-29,0.9575747172208146,1.0674506724427126,0.9908183527990838,0.9820474433735961
2015-01-30,0.9051843041461792,1.0945989010238786,0.9806275642381127,0.9692887171134611
2015-02-02,0.9188955553355047,1.098665960173479,0.9893966297426364,0.981853086934206
2015-02-03,0.9318053721577978,1.1085257201765384,1.0001967872137276,0.996030549961704
2015-02-04,0.9349645190304728,1.1043795548117117,0.997861165742662,0.9918910009706553
2015-02-05,0.9581028705965976,1.113766206734473,1.0081006087800979,1.0020989546505992
2015-02-06,0.9523553126261849,1.10795320157237,1.0037212926967565,0.9986736077477819
2015-02-09,0.9560363269923453,1.1049686527335276,0.999830690685932,0.9944320468324882
2015-02-10,0.9594226347136036,1.122394221348138,1.0128691606751588,1.0050481668279285
2015-02-11,0.9611507543260499,1.132568344126872,1.0157336800644843,1.0050189866728538
2015-02-12,0.9686072776803941,1.1397792117024166,1.027671897763206,1.0147118987538768
2015-02-13,0.9752870833482193,1.150377135140522,1.0353366822626129,1.0188465843857464
2015-02-17,0.9794278253722065,1.1471098724547397,1.0364854857292083,1.020474267670037
2015-02-18,0.983261307022896,1.1519653285214528,1.0379854071692733,1.020153523201248
2015-02-19,0.9841687610398515,1.1629723688284355,1.0418654725418823,1.019070061670953
2015-02-20,1.0043976673544488,1.1697148949790126,1.0484809318354917,1.0253134286717798
2015-02-23,1.006324640912158,1.164830380733822,1.0495387276720114,1.0250024109213491
2015-02-24,1.0045519147607394,1.164642301187257,1.0510513550581597,1.0278301577377171
2015-02-25,0.9860595590306677,1.1706020988761472,1.0508440312062168,1.0270431238803153
2015-02-26,0.9928798927197704,1.182511540437948,1.0552338839277735,1.025527179238628
2015-02-27,0.9789422031692091,1.1686915545667325,1.0500802282359798,1.02249540857377
2015-03-02,0.9782453185518327,1.1833944863645314,1.0595094864349563,1.028758110392797
2015-03-03,0.97376928269925,1.1805284827834552,1.0535434765968352,1.0240890483438068
2015-03-04,0.9725723918445007,1.1781771630108557,1.0508440312062168,1.0195948299882318
2015-03-05,0.9824840106946353,1.1779000884538002,1.0541591468298097,1.0208143469570259
2015-03-06,0.9726751073358418,1.159503896156715,1.042430318990524,1.0063453789250718
2015-03-09,0.9673343756040005,1.1536284753434818,1.0456184784536595,1.0103148289633679
2015-03-10,0.9449541632947659,1.1267806451904374,1.0281331339360635,0.9931785456586987
2015-03-11,0.9429060033032955,1.1221079076971692,1.0260492554780447,0.9912739474474896
2015-03-12,0.9619396774729344,1.1410454914245602,1.0352203660407455,1.003765426189806
2015-03-13,0.9625964490823273,1.1260430983618588,1.030665439320482,0.9976678413458362
2015-03-16,0.9762191533915517,1.1237103927413168,1.0428829812322846,1.0111699498492774
2015-03-17,0.9772219039854962,1.126534485452637,1.0445586166096466,1.007812689974968
2015-03-18,0.9825775925588323,1.1411365432016343,1.0541633821451708,1.0200661013545405
2015-03-19,0.9874231381736429,1.1434366949236296,1.0561837308727735,1.015095748273478
2015-03-20,0.9939235696273935,1.1492527300997746,1.0633852131918298,1.0242445572190222
2015-03-23,0.996967282483141,1.148591463704385,1.0601166860372087,1.022456501700337
2015-03-24,0.9893144184797356,1.1611671349047372,1.0566809155760126,1.016179209803773
2015-03-25,0.9661381715689462,1.1331453260419904,1.0316725146730434,1.0013847525623676
2015-03-26,0.9653697520196379,1.1292361137799827,1.0288883629752037,0.9990039603164125
2015-03-27,0.9688623455165416,1.1256349164801045,1.0347824757525612,1.0013701624848301
2015-03-30,0.9745794038115321,1.1395993222706018,1.0466762742901792,1.0136235738644026
2015-03-31,0.9701665951962153,1.1270178663452477,1.0368260670644627,1.0047079689224232
2015-04-01,0.9700944767286676,1.1199729877337514,1.0324573909197112,1.00072392880659
2015-04-02,0.9751978221458635,1.1208188715797376,1.0338769446682907,1.004256150992831
2015-04-06,0.9770589347792226,1.1350835106374149,1.0403040873788945,1.0108930942316172
2015-04-07,0.975273522674638,1.131367971927451,1.0388041659388294,1.0088087296585555
2015-04-08,0.9949579682745764,1.1469178390550405,1.0473913194835767,1.0115148924954454
