Date,OLO,LSPD,SEZNL,DOMA,LDI,KUX.SI,LSPD.TO,LPSD.TO,LPSD,,VIRT,FLT,ML,XRO.AX,SZL.AX,KPLT,FCH.L,SZL,QTWO,PAYO,PAY,KPLU,INTA,HIPO,FCH,EVER,ENV,DCT,COMP,BHG,ALKT,AFTPY,XROLF,MILE,CLOV,AFTPF,XRO,ZG,BTRS,FLYW,RDFN,OSCR,QD,GSKY,AVLR,MQ,DLO,FTCV,LU,PAGS,MELI,FUSE,SOFI,COIN,GWRE,UPST,BILL,NCNO,OPEN,INTU,AFRM,ROOT,LMND,STNE,ADYEY,BL,GDOT,CATM,GPN,SHOP,SQ,PYPL,LC
2015-01-02,,,,,,,,,,,,150.25999450683594,,15.569999694824219,,,,18300.0,18.889999389648438,,,,,,,,48.7599983215332,,,,,,12.5,,,,,32.329280853271484,,,,,,,,,,,,,124.58250427246094,,,,49.970001220703125,,,,,85.78865814208984,,,,,,,20.34000015258789,37.81999969482422,39.97422790527344,,,,124.6500015258789
2015-01-05,,,,,,,,,,,,143.77999877929688,,15.520000457763672,,,,17900.0,18.860000610351562,,,,,,,,48.0,,,,,,12.5,,,,,30.42719078063965,,,,,,,,,,,,,123.0481185913086,,,,48.810001373291016,,,,,85.4500503540039,,,,,,,20.010000228881836,36.810001373291016,39.29519271850586,,,,120.0
2015-01-06,,,,,,,,,,,,142.25,,15.399999618530273,,,,18000.0,18.309999465942383,,,,,,,,47.02000045776367,,,,,,12.5,,,,,30.22762680053711,,,,,,,,,,,,,120.85047912597656,,,,48.279998779296875,,,,,82.8259048461914,,,,,,,19.940000534057617,36.380001068115234,38.84415817260742,,,,114.44999694824219
2015-01-07,,,,,,,,,,,,143.2100067138672,,15.5600004196167,,,,18000.0,18.700000762939453,,,,,,,,48.63999938964844,,,,,,12.65999984741211,,,,,31.718116760253906,,,,,,,,,,,,,120.61287689208984,,,,48.529998779296875,,,,,83.6370849609375,,,,,,,19.899999618530273,37.040000915527344,39.30014419555664,,,,114.4000015258789
2015-01-08,,,,,,,,,,,,146.1199951171875,,15.6899995803833,,,,18000.0,19.3700008392334,,,,,,,,50.150001525878906,,,,,,12.65999984741211,,,,,32.41035079956055,,,,,,,,,,,,,122.41455078125,,,,49.650001525878906,,,,,84.75955200195312,,,,,,,20.270000457763672,36.93000030517578,42.021278381347656,,,,115.80000305175781
2015-01-09,,,,,,,,,,,,143.5500030517578,,15.800000190734863,,,,18200.0,19.06999969482422,,,,,,,,50.61000061035156,,,,,,12.65999984741211,,,,,32.02993392944336,,,,,,,,,,,,,121.0583724975586,,,,49.09000015258789,,,,,82.9768295288086,,,,,,,19.93000030517578,36.88999938964844,42.36823272705078,,,,115.05000305175781
2015-01-12,,,,,,,,,,,,141.41000366210938,,15.670000076293945,,,,18000.0,19.06999969482422,,,,,,,,50.099998474121094,,,,,,12.300000190734863,,,,,32.43217849731445,,,,,,,,,,,,,119.068603515625,,,,47.79999923706055,,,,,81.79777526855469,,,,,,,19.979999542236328,36.849998474121094,41.98162078857422,,,,105.05000305175781
2015-01-13,,,,,,,,,,,,141.86000061035156,,15.350000381469727,,,,18000.0,18.520000457763672,,,,,,,,51.0099983215332,,,,,,12.300000190734863,,,,,32.50077819824219,,,,,,,,,,,,,118.77162170410156,,,,47.7400016784668,,,,,81.4110336303711,,,,,,,19.959999084472656,37.43000030517578,42.12040710449219,,,,105.6500015258789
2015-01-14,,,,,,,,,,,,139.7899932861328,,15.350000381469727,,,,17900.0,18.889999389648438,,,,,,,,50.439998626708984,,,,,,12.819999694824219,,,,,32.491424560546875,,,,,,,,,,,,,117.3362045288086,,,,47.58000183105469,,,,,81.33557891845703,,,,,,,19.850000381469727,36.5,41.98162078857422,,,,105.30000305175781
2015-01-15,,,,,,,,,,,,137.67999267578125,,15.100000381469727,,,,18200.0,18.15999984741211,,,,,,,,48.810001373291016,,,,,,12.5,,,,,29.781726837158203,,,,,,,,,,,,,115.71273803710938,,,,45.599998474121094,,,,,80.25084686279297,,,,,,,18.90999984741211,34.5099983215332,41.971702575683594,,,,110.44999694824219
