Date,Fintech,FAANG,NASDAQ,SNP500,EMCLOUD
10/04/2018,0.0,0.0,0.0,0.0,0.0
10/05/2018,-0.009435570506310498,-0.014141660591754812,-0.011556501993278179,-0.005527978766503461,-0.007548639770908805
10/08/2018,-0.0683586789782542,-0.02472238198752852,-0.018219353054017562,-0.005920911199373768,-0.04773435525983327
10/09/2018,-0.07363147489168265,-0.01931230099034975,-0.017956668663704267,-0.007330419575271252,-0.05769392739829882
10/10/2018,-0.14858272652863092,-0.08013892987642768,-0.05805690639958416,-0.039953739988952464,-0.10732333866756516
10/11/2018,-0.20157174997552818,-0.09505683744012594,-0.06985836979765303,-0.05970477900916238,-0.11747241640697392
10/12/2018,-0.15899885584957874,-0.05865631853174924,-0.04855881143462237,-0.046346759085721057,-0.07813947612229422
10/15/2018,-0.16500437533471468,-0.07392322472294921,-0.056953991377457824,-0.05197806141273087,-0.08410890255200876
10/16/2018,-0.11624361020547891,-0.04351018712465493,-0.029699757752814637,-0.03159976087495209,-0.034900614840394084
10/17/2018,-0.13214346589377213,-0.032498289733097874,-0.03005384565237812,-0.03184443914364288,-0.03985934473174424
10/18/2018,-0.15828379538083814,-0.06564009432380025,-0.05005002095774014,-0.0457780588044,-0.06484249978943823
10/19/2018,-0.1627168037753315,-0.07186387016143836,-0.05463283799034735,-0.04612269504530708,-0.09705845194980212
10/22/2018,-0.1421613376252232,-0.06325795931207634,-0.05214536120064184,-0.05022391679592619,-0.07846584687947455
10/23/2018,-0.14943655745350404,-0.06806674163420545,-0.056091018313173424,-0.05545892110177575,-0.08389834077318292
10/24/2018,-0.20103283377236747,-0.1240045966280019,-0.09786266991447612,-0.08461164687069711,-0.13172744883348775
10/25/2018,-0.1714692992878667,-0.07320835866354736,-0.07121888779466323,-0.06756250212978632,-0.10010106965383647
10/26/2018,-0.1948296975169601,-0.13012043167973453,-0.09039900017574265,-0.0837190928561602,-0.12848479743956887
10/29/2018,-0.2232879783955073,-0.1763272177285956,-0.10523747685167395,-0.08972952870405082,-0.13706518992672456
10/30/2018,-0.2119032977773837,-0.17608966854218788,-0.09110463526715484,-0.07546852144237337,-0.11743030405120869
10/31/2018,-0.16731510492283164,-0.1412331109991548,-0.0727976587812188,-0.06543612344809568,-0.08704623936663014
11/01/2018,-0.13557654680414932,-0.11195158083236201,-0.0565326676761746,-0.05556914411827685,-0.06756927482523378
11/02/2018,-0.12978509384285752,-0.12310547686485773,-0.06631371072468673,-0.061534817641909045,-0.08402467784047851
11/05/2018,-0.14943796791870068,-0.1375667839939383,-0.06988501624441767,-0.05627911496807536,-0.09823759791122721
11/06/2018,-0.13897693922901633,-0.1320216316774907,-0.0639062352437556,-0.0503720868203984,-0.09990103596395172
11/07/2018,-0.0870918615726618,-0.0812162303367161,-0.03918514917920268,-0.03023156509531555,-0.04092268171481517
11/08/2018,-0.11513024170924746,-0.08660430283355403,-0.04424512351433674,-0.03266463300994238,-0.05229301777141415
11/09/2018,-0.1488642726238063,-0.11009686377893035,-0.05997960245484424,-0.04156316430928242,-0.07393876863471738
11/12/2018,-0.18264450543483912,-0.14662381503385435,-0.08612714098002905,-0.06044579741093703,-0.10551250736966233
11/13/2018,-0.16838701588276295,-0.14928886430910004,-0.08612714098002905,-0.06183814128655507,-0.10275414806704286
11/14/2018,-0.16828263425440226,-0.16437752018670615,-0.09431038871836539,-0.06893759736541738,-0.11074496757348617
11/15/2018,-0.13159062988323955,-0.15290216480711516,-0.07874601325778463,-0.05907415190330323,-0.0785395435020636
11/16/2018,-0.14292130471418762,-0.16355679196933903,-0.08016230288755777,-0.05698218636187902,-0.08601448665038325
11/19/2018,-0.22157910427564442,-0.2047731254649814,-0.10800542298569604,-0.07267693423514265,-0.16517518739998316
11/20/2018,-0.23812890257960817,-0.21457661177386866,-0.12319166677614435,-0.08950899853134142,-0.166880737808473
11/21/2018,-0.23553894764660965,-0.20750350026868147,-0.11514165127163045,-0.08673810969209494,-0.1443822117409247
11/22/2018,-0.23423049154874243,-0.20750350026868147,-0.11514165127163045,-0.08673810969209494,-0.1443822117409247
11/23/2018,-0.2304301151021727,-0.21698590795237793,-0.11936399765114669,-0.09272439744400396,-0.13705466183778336
11/26/2018,-0.1918513819875679,-0.18432043985395608,-0.10123214409208625,-0.07863225857478273,-0.10430177714141331
11/27/2018,-0.1920124780656426,-0.18320977854269604,-0.1011242569669305,-0.07562704065083736,-0.1145034953255285
11/28/2018,-0.15186163815892895,-0.13723968816949972,-0.07461376904942085,-0.05439051509908077,-0.06661121873157583
11/29/2018,-0.15412354667858175,-0.13650479192367793,-0.07696287022139359,-0.05645488281652633,-0.058799376737134645
11/30/2018,-0.1441454242807818,-0.13079403059678496,-0.0696705433322039,-0.048745413860081466,-0.045628737471574254
12/03/2018,-0.1182049382574738,-0.09641768893572655,-0.05558721456388194,-0.03833733207292056,-0.03156321064600354
12/04/2018,-0.1756325081427741,-0.1467796449592842,-0.09151325542986422,-0.06946145118277303,-0.0751389707740251
12/05/2018,-0.17772122782903566,-0.1467796449592842,-0.09151325542986422,-0.06946145118277303,-0.0751389707740251
12/06/2018,-0.15356398960060935,-0.1314491416242678,-0.08772753896640051,-0.07087794315437235,-0.05302998399730485
12/07/2018,-0.1996153054189158,-0.16774143582373513,-0.11552238561795836,-0.09254517986755573,-0.09203655352480433
12/10/2018,-0.1767729554035583,-0.16052211283404405,-0.10901563316047436,-0.09094610473121778,-0.07502316179567081
12/11/2018,-0.17495340897492317,-0.1603811214397708,-0.10758025723860021,-0.09127004260414073,-0.07318074623094406
12/12/2018,-0.1499474551104656,-0.1480862431024913,-0.09914318660271182,-0.08634517725922486,-0.05387223111260864
12/13/2018,-0.149775257981431,-0.14933766232699608,-0.10269416646072471,-0.08652784456367035,-0.05890465762654762
12/14/2018,-0.1989212387632675,-0.17968673792907486,-0.12295810757182946,-0.10396302228145649,-0.08041354333361406
12/17/2018,-0.23595181022085843,-0.2100288452664968,-0.1428743435368981,-0.1225768290184387,-0.1261686178724838
12/18/2018,-0.22148650531591552,-0.193916595930129,-0.1390441337041859,-0.12250101914220402,-0.11317695611892531
12/19/2018,-0.23062408334219064,-0.21938985117871634,-0.15771027950511485,-0.136010742957822,-0.1143245178135266
12/20/2018,-0.2580264821749708,-0.23581329591734845,-0.17147000886645025,-0.14963767338564293,-0.1408131895898257
12/21/2018,-0.2911818710482923,-0.2761060259638075,-0.19627103427129655,-0.16714512711195917,-0.18050408489850922
12/24/2018,-0.3065433678739674,-0.29351669936172253,-0.2140475605611767,-0.1897257003473708,-0.17887223111260842
12/26/2018,-0.2521349934086068,-0.23161597097527975,-0.16817669395180201,-0.14954116514142413,-0.11914638254863985
12/27/2018,-0.23781373072943057,-0.233880226667061,-0.16498736214801601,-0.1422589576184088,-0.10385959740587891
12/28/2018,-0.23933575037285826,-0.22888342426329455,-0.16434902482680436,-0.1433239138931064,-0.1057546534153121
12/31/2018,-0.2332204397013482,-0.212602882977332,-0.157907029431806,-0.1360486058260858,-0.09439484544765442
01/02/2019,-0.22810896396939428,-0.1972868158880462,-0.15401590458242043,-0.13495268613911904,-0.0991009012044134
01/03/2019,-0.26738610407005603,-0.21500213952199676,-0.17970785083641339,-0.15636842926732408,-0.13310662848479748
01/04/2019,-0.22347590685718366,-0.17029539284059259,-0.1447615316526325,-0.1274017363911386,-0.09017308178219485
01/07/2019,-0.19953417044534105,-0.14260999092692028,-0.1340235093543901,-0.12128444311503705,-0.0571043544175861
01/08/2019,-0.18262039613660563,-0.12895630778372869,-0.12469173779202336,-0.11276504533657772,-0.04197549060894468
01/09/2019,-0.16321533379666697,-0.12792452584494174,-0.11706688803460519,-0.10912911616706611,-0.03555335635475454
01/10/2019,-0.16125098074196687,-0.12742561422923682,-0.11338775735819939,-0.10510378843238899,-0.03186852522530115
01/11/2019,-0.158714972276219,-0.12845706337859242,-0.11523937556592712,-0.10523470981687422,-0.033121367809315294
01/14/2019,-0.16465687193429512,-0.13990494847410073,-0.12355969758389851,-0.1099389608493736,-0.04714478227912089
01/15/2019,-0.1465515844689217,-0.10524858399288928,-0.10859554882880806,-0.10039600353218492,-0.02347763833908878
01/16/2019,-0.14290043634928773,-0.10343444754612974,-0.10721730784627559,-0.09839709650698225,-0.02378295291838628
01/17/2019,-0.13554054598576304,-0.0982955469427701,-0.1009009225619556,-0.09155266788080274,-0.009212077823633424
01/18/2019,-0.12076362812768204,-0.10280499354368056,-0.09166557395578778,-0.07957655850928003,0.011138718099890532
01/21/2019,-0.1205809019008045,-0.10280499354368056,-0.09166557395578778,-0.07957655850928003,0.011138718099890532
01/22/2019,-0.1457733050545028,-0.13552253177530316,-0.10903595882219241,-0.09260727497150822,-0.006990651057020125
01/23/2019,-0.1393309113802318,-0.13425330413048742,-0.10834934805440044,-0.09060836794630533,-0.005095595047586943
01/24/2019,-0.11384173592131652,-0.12642306582254503,-0.10229694849849136,-0.08935729463916475,0.002316179567084964
01/25/2019,-0.08406578179743951,-0.11361820645080634,-0.0906972544740623,-0.08162712731473598,0.026783458266655513
01/28/2019,-0.09959374311114277,-0.1287210258729834,-0.10074606332831726,-0.08883344082180933,0.018940032005390295
01/29/2019,-0.13707151216033509,-0.14940597599450411,-0.1080295287247457,-0.0901603240051847,0.0014844605407227096
01/30/2019,-0.11395609798245387,-0.11214074728181933,-0.08838490061123228,-0.07601298948800572,0.026151772930177675
01/31/2019,-0.10519120884252142,-0.08891142454187495,-0.07586379724507963,-0.06806910730715499,0.06025225301103343
