Date,Fintech,FAANG,NASDAQ,SNP500,EMCLOUD
12/31/2020,0.0,0.0,0.0,0.0,0.0
01/04/2021,-0.047114942930092885,-0.023263434711651265,-0.01472889121725851,-0.014754827521051062,-0.017112624857756997
01/05/2021,-0.02718491353440744,-0.014252582213260978,-0.005378554083966258,-0.00777673483345287,-0.008759798963206555
01/06/2021,-0.05179401492798186,-0.0418701899239694,-0.01144374821511085,-0.002111296018690645,-0.038994341888987205
01/07/2021,-0.010442321485240602,-0.026800941135894263,0.013904119984248675,0.01270476051687952,-0.0009127260083449107
01/08/2021,0.012253478585854571,-0.02027388409067865,0.02433995759380192,0.018266396002356355,0.021727620432418604
01/11/2021,-0.0028040845480812315,-0.042092015953965944,0.011494893881834223,0.011591913428153466,0.01356050069541026
01/12/2021,0.007676357646849485,-0.04244692638865133,0.014288129227141955,0.012012521658463893,0.019771778985965494
01/13/2021,-0.018058940494206865,-0.027385282067902805,0.01867354812038169,0.014315499592034042,0.01764603616133531
01/14/2021,-0.01736994891529542,-0.04005737336203685,0.017408014897255297,0.010508315868656082,0.019139587811354053
01/15/2021,-0.025424960400350916,-0.04831927148599957,0.008551934332904132,0.0032427328082154094,0.007744341888987316
01/18/2021,-0.025302074022057752,-0.04831927148599957,0.008551934332904132,0.0032427328082154094,0.007744341888987316
01/19/2021,-0.01375447900579152,-0.04206716172755498,0.023967465597340976,0.011405496428534834,0.028148312049563806
01/20/2021,0.0060876242684717585,0.009848497605219775,0.04414628751790395,0.02550006457646048,0.0449171829561259
01/21/2021,0.004673730803674392,0.026071590141114376,0.049861569517303916,0.025824864348808152,0.04153891136679744
01/22/2021,0.007669158414605137,0.02507431742016908,0.050804240983530535,0.022736504055967277,0.04888418257681115
01/25/2021,0.0011975457390953625,0.03178140346199321,0.058014719192483355,0.026434554535844645,0.03685279428499166
01/26/2021,-0.028446016802897822,0.03948611006813674,0.05724420025187915,0.02490636413206926,0.011738999873561973
01/27/2021,-0.07196689323336847,0.011968692158289107,0.02966410784264628,-0.0014110622889524915,-0.009960962194967782
01/28/2021,-0.04818742615930793,0.005417445149086264,0.03482853206859815,0.008335790835446444,0.016583164749019996
01/29/2021,-0.06357479614293304,-0.0121786428042574,0.01415318043835101,-0.011136660755445171,0.004923188772284703
02/01/2021,-0.025437324504405612,0.020320993791769215,0.03996726980415155,0.0047363437685470355,0.026425591098748313
02/02/2021,0.019482217696208837,0.03113990366763053,0.05621386132432127,0.018700394017158395,0.06095508281704376
02/03/2021,0.01617219083334298,0.017922702061580198,0.05604004182882072,0.01972802747739766,0.05337273991655089
02/04/2021,0.04139271253683696,0.0296989870401414,0.06901308336463319,0.030795464347001422,0.07608420786445835
02/05/2021,0.06241190923777018,0.0335661975825976,0.07510851026766319,0.03481298468501137,0.09650003160955856
02/08/2021,0.09847795698296213,0.027753846916334757,0.08529915176237757,0.0424699264465338,0.1045604690858517
02/09/2021,0.13194938197834238,0.024504057816999714,0.08685564700064008,0.04130911012987237,0.11699487925148566
02/10/2021,0.15380115999080513,0.021167152535693123,0.08412681730972427,0.040949665915127165,0.11834223669237565
02/11/2021,0.16391418574264072,0.015109788593514084,0.08825764443971984,0.04268019806221224,0.12260162473131864
02/12/2021,0.16307986400468422,0.01845824081519898,0.0936656735819903,0.0475922990019475,0.12977699456315595
02/15/2021,0.16527568908583445,0.01845824081519898,0.0936656735819903,0.0475922990019475,0.12977699456315595
02/16/2021,0.16875851003872921,0.013670731387636303,0.08994370870034762,0.046995933600448625,0.11547366923757751
02/17/2021,0.13741650145985385,0.016030769006178502,0.08358058158912085,0.04666047399967099,0.10231223922114063
02/18/2021,0.11683270744753793,0.016757472048856137,0.07581151692819277,0.04203859338883942,0.10453676191680361
02/19/2021,0.14282827465726977,0.00020205080501689565,0.07651755444304698,0.04010571949844466,0.11707785434315321
02/22/2021,0.09980545775691096,-0.02172274184452261,0.05002758456291945,0.032062748950055564,0.0577388102162093
02/23/2021,0.054080653109755294,-0.0167976303062507,0.044763142144264245,0.033359348081292595,0.03703059805285114
02/24/2021,0.04272722569239473,-0.022082266615358948,0.05506471290724946,0.04508964428217532,0.0477738968264001
02/25/2021,-0.005660029710462644,-0.052084539960372545,0.01793485315018284,0.019507096033289262,-0.007400587937792413
02/26/2021,0.00812478034655384,-0.04618038328087082,0.02359270046013684,0.014664218979395516,-0.004200120116323203
03/01/2021,0.04029130829925309,-0.02125596144139641,0.05435556876671299,0.038803855451946534,0.03434773675559488
03/02/2021,0.032445311875990424,-0.03628060350509332,0.03650679187934114,0.030409435560134757,0.0040144139587809935
03/03/2021,-0.029066379658414188,-0.06467112481637827,0.00849374192987673,0.016945877256105524,-0.051341825768112304
03/04/2021,-0.08124673899749957,-0.07370033492398997,-0.012787629022521396,0.003301296865626968,-0.08895720065747903
03/05/2021,-0.09108086299873563,-0.06373499795213555,0.0024727982718675268,0.022861627042112698,-0.09294000505752953
03/08/2021,-0.13844608359955346,-0.0889227961831226,-0.021656893803183364,0.017379875270907563,-0.13397711467947904
03/09/2021,-0.09002765361658094,-0.05675734409014377,0.014396027641088383,0.0317805234924744,-0.07464202174737655
03/10/2021,-0.10249301892143325,-0.05985912446948527,0.014008836001154545,0.038002483350030536,-0.08465434947528128
03/11/2021,-0.055906058396778535,-0.04032469385184312,0.039601066830413645,0.04879302467626778,-0.03891531799216097
03/12/2021,-0.05687547538212234,-0.04947004528630761,0.03348624245970799,0.04985796753601246,-0.05306454671892791
